Date,Mkt-RF,SMB,HML,RF
2015-01,-3.11,-0.54,-3.61,0.0
2015-02,6.13,0.6,-1.86,0.0
2015-03,-1.12,3.07,-0.41,0.0
2015-04,0.59,-3.04,1.83,0.0
2015-05,1.36,0.92,-1.12,0.0
2015-06,-1.53,2.9,-0.78,0.0
2015-07,1.54,-4.2,-4.07,0.0
2015-08,-6.04,0.36,2.8,0.0
2015-09,-3.07,-2.63,0.58,0.0
2015-10,7.75,-1.87,-0.45,0.0
2015-11,0.56,3.6,-0.38,0.0
2015-12,-2.17,-2.81,-2.59,0.01
2016-01,-5.77,-3.39,2.07,0.01
2016-02,-0.08,0.81,-0.57,0.02
2016-03,6.96,0.75,1.1,0.02
2016-04,0.92,0.67,3.21,0.01
2016-05,1.78,-0.19,-1.65,0.01
2016-06,-0.05,0.59,-1.45,0.02
2016-07,3.95,2.51,-1.29,0.02
2016-08,0.5,1.17,3.11,0.02
2016-09,0.25,2.13,-1.21,0.02
2016-10,-2.02,-4.41,4.12,0.02
2016-11,4.86,5.67,8.21,0.01
2016-12,1.82,0.09,3.6,0.03
2017-01,1.94,-1.13,-2.74,0.04
2017-02,3.57,-2.04,-1.67,0.04
2017-03,0.17,1.13,-3.33,0.03
2017-04,1.09,0.72,-2.13,0.05
2017-05,1.06,-2.52,-3.75,0.06
2017-06,0.78,2.23,1.49,0.06
2017-07,1.87,-1.46,-0.22,0.07
2017-08,0.16,-1.65,-2.07,0.09
2017-09,2.51,4.45,3.09,0.09
2017-10,2.25,-1.93,0.22,0.09
2017-11,3.12,-0.56,-0.05,0.08
2017-12,1.06,-1.32,0.03,0.09
2018-01,5.58,-3.18,-1.36,0.11
2018-02,-3.65,0.26,-1.03,0.11
2018-03,-2.35,4.06,-0.23,0.12
2018-04,0.29,1.1,0.48,0.14
2018-05,2.65,5.31,-3.13,0.14
2018-06,0.48,1.13,-2.33,0.14
2018-07,3.19,-2.25,0.45,0.16
2018-08,3.44,1.14,-3.98,0.16
2018-09,0.06,-2.3,-1.7,0.15
2018-10,-7.68,-4.82,3.43,0.19
2018-11,1.69,-0.68,0.26,0.18
2018-12,-9.55,-2.42,-1.9,0.19
2019-01,8.41,2.9,-0.44,0.21
2019-02,3.4,2.04,-2.68,0.18
2019-03,1.1,-2.98,-4.05,0.19
2019-04,3.96,-1.74,2.17,0.21
2019-05,-6.94,-1.34,-2.37,0.21
2019-06,6.93,0.25,-0.71,0.18
2019-07,1.19,-1.94,0.42,0.19
2019-08,-2.58,-2.32,-4.95,0.16
2019-09,1.43,-0.97,6.83,0.18
2019-10,2.06,0.28,-1.93,0.15
2019-11,3.87,0.8,-2.02,0.12
2019-12,2.77,0.72,1.79,0.14
2020-01,-0.11,-3.13,-6.24,0.13
