Date,Mom   
2015-01,3.85
2015-02,-2.8
2015-03,2.74
2015-04,-7.27
2015-05,5.83
2015-06,3.02
2015-07,10.06
2015-08,-2.08
2015-09,5.24
2015-10,-3.26
2015-11,2.29
2015-12,3.35
2016-01,1.39
2016-02,-4.26
2016-03,-5.04
2016-04,-6.07
2016-05,1.37
2016-06,4.13
2016-07,-3.32
2016-08,-3.49
2016-09,0.15
2016-10,0.6
2016-11,-4.62
2016-12,-0.25
2017-01,-0.94
2017-02,-1.6
2017-03,-1.03
2017-04,0.48
2017-05,1.5
2017-06,-0.09
2017-07,1.62
2017-08,3.29
2017-09,-1.32
2017-10,4.28
2017-11,-0.87
2017-12,-1.55
2018-01,4.05
2018-02,3.57
2018-03,-1.14
2018-04,0.36
2018-05,3.87
2018-06,-2.33
2018-07,-1.43
2018-08,5.28
2018-09,0.03
2018-10,-2.06
2018-11,-1.41
2018-12,2.12
2019-01,-8.65
2019-02,0.85
2019-03,2.16
2019-04,-2.96
2019-05,7.56
2019-06,-2.23
2019-07,2.9
2019-08,7.47
2019-09,-6.81
2019-10,0.19
2019-11,-2.63
2019-12,-1.88
2020-01,6.03
